cavity,group,folder,CRMS_Real,CRMS_Res,supp,variance_explained,variance_explained_percent,mean_blrms,CRMS_Delay_Res,supp_Delay
PRCL,LOFO_Training,1424916018,4.730847052990806e-07,1.813762914432321e-08,26.083050961881014,0.9985301154664793,99.85301154664793,643.8761315534753,2.6180798757451184e-07,1.8069911070396136
PRCL,LOFO_Training,1420675218,5.225739771157549e-07,1.8388617738296522e-08,28.41833924403308,0.9987617663238486,99.87617663238485,842.9177510055118,3.3270776411354583e-07,1.570669619051667
PRCL,LOFO_Training,1422266402,5.47337984264436e-07,2.006886391350154e-08,27.272992961809294,0.9986555817501482,99.86555817501483,943.7833880620644,3.318450963069567e-07,1.6493779487949656
PRCL,LOFO_Training,1417615060,4.642442822655606e-07,1.8171181098180326e-08,25.548382339992767,0.998467949128514,99.8467949128514,1054.420938861272,2.821376138526304e-07,1.6454533513849394
PRCL,LOFO_Training,1417838418,4.4512359440729306e-07,1.6918278927643133e-08,26.31021726920439,0.9985553882897097,99.85553882897096,806.5294999380309,2.3539655564091907e-07,1.8909520285687522
PRCL,LOFO_Training,1422316818,5.469541076207434e-07,2.2071638048443284e-08,24.780857062818686,0.9983715765242055,99.83715765242054,804.7724373358416,2.550216852846861e-07,2.1447356800664497
PRCL,LOFO_Training,1424689218,4.0565040319634855e-07,2.0757996623008007e-08,19.54188598078529,0.9973814127438959,99.73814127438959,1023.6653144097806,2.622141824232209e-07,1.547019308595664
PRCL,LOFO_Training,1420416018,5.415024732244681e-07,1.896563797736245e-08,28.551766825392857,0.9987733122633252,99.87733122633252,731.2278478769425,3.5336564200103985e-07,1.5324140461365923
PRCL,LOFO_Training,1418934929,5.510645059740166e-07,2.182981493544333e-08,25.243663659250593,0.9984307388258274,99.84307388258274,1185.0131948810701,3.7287467869837496e-07,1.4778812760835998
PRCL,LOFO_Training,1420851618,6.155614945414516e-07,1.8896425641402695e-08,32.575551917751895,0.9990576408866814,99.90576408866814,756.2580755510347,3.5389443831747023e-07,1.7393929598555773
PRCL,LOFO_Training,1424736018,4.5623316187349334e-07,2.0514640795068128e-08,22.23939314517148,0.9979781257773486,99.79781257773486,899.4156661191275,2.8857848031133834e-07,1.580967372831396
PRCL,LOFO_Training,1417846196,4.3625190571494984e-07,1.7353071871805795e-08,25.13975098689847,0.9984177392435205,99.84177392435205,895.5645857176238,2.476845700517359e-07,1.7613204796076978
PRCL,LOFO_Training,1420344018,5.154896754431999e-07,1.828890962702326e-08,28.18591627143942,0.9987412610095496,99.87412610095497,745.3890610746917,3.1523403641327476e-07,1.6352602063800883
PRCL,LOFO_Training,1423267218,3.564413485974922e-07,1.8354841644176676e-08,19.41947282942526,0.9973482954874627,99.73482954874628,756.0778987883307,1.927408311353668e-07,1.8493297268556155
PRCL,LOFO_Training,1423274418,3.650675031679378e-07,1.8598455878909495e-08,19.628914655324774,0.997404581317354,99.7404581317354,796.0476563581285,2.0652668023794223e-07,1.7676529867586044
